{'ts': '2023-09-25T11:50:47.944Z', 'node': '1347-3932-1592-420a', 'x': 785, 'y': 1752, 'z': 100, 'q': 21, 'alg': 2}
{'ts': '2023-09-25T11:50:48.327Z', 'node': '1347-3932-1592-420a', 'x': 783, 'y': 1750, 'z': 100, 'q': 20, 'alg': 2}
{'ts': '2023-09-25T11:50:49.341Z', 'node': '1347-3932-1592-420a', 'x': 781, 'y': 1743, 'z': 100, 'q': 22, 'alg': 2}
{'ts': '2023-09-25T11:50:49.936Z', 'node': '1347-3932-1592-420a', 'x': 788, 'y': 1735, 'z': 100, 'q': 21, 'alg': 2}
{'ts': '2023-09-25T11:50:50.419Z', 'node': '1347-3932-1592-420a', 'x': 799, 'y': 1729, 'z': 100, 'q': 24, 'alg': 2}
{'ts': '2023-09-25T11:50:51.224Z', 'node': '1347-3932-1592-420a', 'x': 806, 'y': 1729, 'z': 100, 'q': 13, 'alg': 2}
{'ts': '2023-09-25T11:50:51.546Z', 'node': '1347-3932-1592-420a', 'x': 853, 'y': 1687, 'z': 100, 'q': 31, 'alg': 2}
{'ts': '2023-09-25T11:50:51.787Z', 'node': '1347-3932-1592-420a', 'x': 805, 'y': 1720, 'z': 100, 'q': 11, 'alg': 2}
{'ts': '2023-09-25T11:50:52.028Z', 'node': '1347-3932-1592-420a', 'x': 807, 'y': 1718, 'z': 100, 'q': 11, 'alg': 2}
{'ts': '2023-09-25T11:50:53.637Z', 'node': '1347-3932-1592-420a', 'x': 809, 'y': 1719, 'z': 100, 'q': 7, 'alg': 2}
{'ts': '2023-09-25T11:50:54.12Z', 'node': '1347-3932-1592-420a', 'x': 809, 'y': 1721, 'z': 100, 'q': 12, 'alg': 2}
{'ts': '2023-09-25T11:50:55.123Z', 'node': '1347-3932-1592-420a', 'x': 797, 'y': 1734, 'z': 100, 'q': 23, 'alg': 2}
{'ts': '2023-09-25T11:50:56.131Z', 'node': '1347-3932-1592-420a', 'x': 797, 'y': 1760, 'z': 100, 'q': 7, 'alg': 2}
{'ts': '2023-09-25T11:50:56.372Z', 'node': '1347-3932-1592-420a', 'x': 806, 'y': 1735, 'z': 100, 'q': 9, 'alg': 2}
{'ts': '2023-09-25T11:50:56.774Z', 'node': '1347-3932-1592-420a', 'x': 799, 'y': 1730, 'z': 100, 'q': 28, 'alg': 2}
{'ts': '2023-09-25T11:50:57.016Z', 'node': '1347-3932-1592-420a', 'x': 802, 'y': 1720, 'z': 100, 'q': 31, 'alg': 2}
{'ts': '2023-09-25T11:50:57.337Z', 'node': '1347-3932-1592-420a', 'x': 813, 'y': 1721, 'z': 100, 'q': 33, 'alg': 2}
{'ts': '2023-09-25T11:50:57.82Z', 'node': '1347-3932-1592-420a', 'x': 830, 'y': 1705, 'z': 100, 'q': 36, 'alg': 2}
{'ts': '2023-09-25T11:50:57.981Z', 'node': '1347-3932-1592-420a', 'x': 810, 'y': 1727, 'z': 100, 'q': 33, 'alg': 2}
{'ts': '2023-09-25T11:50:58.705Z', 'node': '1347-3932-1592-420a', 'x': 794, 'y': 1743, 'z': 100, 'q': 45, 'alg': 2}
{'ts': '2023-09-25T11:50:59.348Z', 'node': '1347-3932-1592-420a', 'x': 810, 'y': 1715, 'z': 100, 'q': 4, 'alg': 2}
{'ts': '2023-09-25T11:50:59.589Z', 'node': '1347-3932-1592-420a', 'x': 806, 'y': 1714, 'z': 100, 'q': 16, 'alg': 2}
{'ts': '2023-09-25T11:50:59.75Z', 'node': '1347-3932-1592-420a', 'x': 823, 'y': 1702, 'z': 100, 'q': 21, 'alg': 2}
{'ts': '2023-09-25T11:50:59.911Z', 'node': '1347-3932-1592-420a', 'x': 814, 'y': 1711, 'z': 100, 'q': 13, 'alg': 2}
{'ts': '2023-09-25T11:51:00.635Z', 'node': '1347-3932-1592-420a', 'x': 773, 'y': 1744, 'z': 100, 'q': 29, 'alg': 2}
{'ts': '2023-09-25T11:51:01.662Z', 'node': '1347-3932-1592-420a', 'x': 800, 'y': 1699, 'z': 100, 'q': 12, 'alg': 2}
{'ts': '2023-09-25T11:51:10.582Z', 'node': '1347-3932-1592-420a', 'x': 779, 'y': 1700, 'z': 100, 'q': 6, 'alg': 2}
{'ts': '2023-09-25T11:51:11.619Z', 'node': '1347-3932-1592-420a', 'x': 820, 'y': 1694, 'z': 100, 'q': 9, 'alg': 2}
{'ts': '2023-09-25T11:51:12.217Z', 'node': '1347-3932-1592-420a', 'x': 787, 'y': 1728, 'z': 100, 'q': 11, 'alg': 2}
{'ts': '2023-09-25T11:51:13.022Z', 'node': '1347-3932-1592-420a', 'x': 785, 'y': 1720, 'z': 100, 'q': 9, 'alg': 2}
{'ts': '2023-09-25T11:51:14.039Z', 'node': '1347-3932-1592-420a', 'x': 804, 'y': 1714, 'z': 100, 'q': 10, 'alg': 2}
{'ts': '2023-09-25T11:51:14.229Z', 'node': '1347-3932-1592-420a', 'x': 771, 'y': 1722, 'z': 100, 'q': 14, 'alg': 2}
{'ts': '2023-09-25T11:51:14.631Z', 'node': '1347-3932-1592-420a', 'x': 793, 'y': 1727, 'z': 100, 'q': 2, 'alg': 2}
{'ts': '2023-09-25T11:51:15.194Z', 'node': '1347-3932-1592-420a', 'x': 802, 'y': 1707, 'z': 100, 'q': 5, 'alg': 2}
